"carat","depth","table","x","y","z","cutNumber","colorNumber","priceNumber"
0.23,61.5,55,3.95,3.98,2.43,3,6,1
0.23,56.9,65,4.05,4.07,2.31,2,6,1
0.31,63.3,58,4.34,4.35,2.75,2,1,1
0.24,62.3,57,3.95,3.98,2.47,5,2,1
0.22,65.1,61,3.87,3.78,2.49,1,6,1
0.3,64,55,4.25,4.28,2.73,2,1,1
0.22,60.4,61,3.88,3.84,2.33,4,5,1
0.2,60.2,62,3.79,3.75,2.27,4,6,1
0.3,62,54,4.31,4.34,2.68,3,2,1
0.3,63.8,56,4.23,4.26,2.71,2,1,1
0.3,63.3,56,4.26,4.3,2.71,2,2,1
0.23,61,57,3.94,3.96,2.41,5,3,1
0.31,58.1,62,4.44,4.47,2.59,5,1,1
0.24,62.5,57,3.97,3.94,2.47,4,2,1
0.23,60.5,61,3.96,3.97,2.4,5,7,1
0.23,60,57,4,4.03,2.41,5,5,1
0.23,60.7,59,3.97,4.01,2.42,5,6,1
0.23,61.9,58,3.92,3.96,2.44,5,7,1
0.23,64.1,59,3.83,3.85,2.46,2,6,1
0.26,60.8,59,4.13,4.16,2.52,5,7,1
0.33,61.2,56,4.49,4.5,2.75,3,2,1
0.26,65.2,56,3.99,4.02,2.61,2,7,1
0.32,63.1,56,4.34,4.37,2.75,2,3,1
0.32,61.8,55,4.35,4.42,2.71,5,3,1
0.25,63.3,60,4,4.03,2.54,5,6,1
0.24,60.9,61,4.02,4.03,2.45,5,5,1
0.32,60.9,55,4.45,4.48,2.72,3,2,1
0.22,59.3,62,3.91,3.88,2.31,4,7,1
0.3,59.3,61,4.43,4.38,2.61,4,1,1
0.3,63,57,4.28,4.32,2.71,5,2,1
0.35,60.9,57,4.54,4.59,2.78,3,2,1
0.3,62.5,57,4.29,4.32,2.69,3,7,1
0.42,61.5,59,4.78,4.84,2.96,4,2,1
0.32,62,55.3,4.39,4.42,2.73,3,2,1
0.31,61.8,58,4.35,4.32,2.68,4,4,1
0.24,61.5,60,3.97,4,2.45,5,7,1
0.3,62.9,59,4.28,4.24,2.68,4,3,1
0.3,63.7,57,4.28,4.26,2.72,2,3,1
0.26,59.9,58,4.15,4.23,2.51,5,6,1
0.26,62.8,60,4.01,4.05,2.53,5,7,1
0.26,63.4,59,4,4.04,2.55,5,6,1
0.26,62.9,58,4.02,4.06,2.54,3,6,1
0.26,57.9,60,4.22,4.25,2.45,2,6,1
0.24,61.2,58,4.01,3.96,2.44,4,3,1
0.24,60.7,58,4.07,4.04,2.46,4,3,1
0.7,62.5,57,5.7,5.72,3.57,3,6,3
0.7,61.6,56,5.7,5.67,3.5,3,4,3
0.78,63.8,56,5.81,5.85,3.72,5,4,3
0.7,59.4,62,5.71,5.76,3.4,2,5,3
0.73,61.6,59,5.77,5.78,3.56,5,6,3
0.75,63.2,56,5.8,5.75,3.65,5,7,3
0.74,61.6,55,5.8,5.85,3.59,3,4,3
0.8,62.9,56,5.94,5.87,3.72,3,2,3
0.8,63,59,5.9,5.81,3.69,4,4,3
0.81,58.8,57,6.14,6.11,3.6,3,5,3
0.8,61.4,57,5.96,6,3.67,3,5,3
0.9,63,58,6.16,6.12,3.87,4,2,3
0.73,62.6,56,5.77,5.74,3.6,3,5,3
0.8,61.7,58,5.98,5.94,3.68,4,5,3
0.7,60.7,58,5.73,5.76,3.49,3,6,3
0.71,62.3,56,5.73,5.69,3.56,3,7,3
0.7,61.7,63,5.64,5.61,3.47,5,5,3
0.7,65.3,55,5.63,5.58,3.66,1,5,3
0.91,61.4,56,6.09,5.97,3.7,4,3,3
0.91,64.4,57,6.11,6.09,3.93,1,3,3
0.77,62,56,5.89,5.86,3.64,3,3,3
0.71,61.9,59,5.69,5.72,3.53,3,7,3
0.77,61.3,60,5.88,5.9,3.61,5,3,3
0.71,60.1,62,5.74,5.77,3.46,5,5,3
0.76,61.2,57,5.88,5.91,3.61,3,3,3
0.71,60.9,57,5.78,5.75,3.51,4,4,3
0.7,61.8,55,5.68,5.72,3.52,5,7,3
0.71,61.6,55,5.74,5.76,3.54,3,7,3
0.71,63.3,59,5.52,5.61,3.52,5,4,3
0.7,61.1,58,5.66,5.73,3.48,5,7,3
0.71,61.7,59,5.71,5.67,3.51,4,7,3
0.71,62.5,60,5.65,5.61,3.52,4,7,3
0.76,62.9,57,5.79,5.81,3.65,5,5,3
0.71,60.7,56,5.77,5.8,3.51,3,5,3
0.73,61.5,58,5.79,5.75,3.55,4,4,3
0.73,59.2,59,5.92,5.87,3.49,4,4,3
0.73,61.7,60,5.79,5.82,3.58,5,5,3
0.79,61.9,55,5.97,5.92,3.68,3,5,3
0.8,61,57,6.01,6.03,3.67,5,5,3
0.58,61.7,56,5.33,5.37,3.3,3,5,3
0.75,61.3,56,5.85,5.89,3.6,3,7,3
1.17,60.2,61,6.83,6.9,4.13,5,1,3
0.7,62.7,55,5.68,5.74,3.58,3,6,3
0.74,61.3,61,5.8,5.84,3.57,5,5,3
0.71,62.7,58,5.74,5.68,3.58,4,6,3
0.54,61.6,56,5.25,5.27,3.24,3,6,3
0.72,61.8,56,5.72,5.75,3.55,3,4,3
0.72,59.7,60.5,5.8,5.84,3.47,2,4,3
0.7,62.7,58,5.66,5.73,3.57,5,7,3
0.71,62.8,57,5.64,5.69,3.56,5,5,3
0.71,57.8,60,5.87,5.9,3.4,2,5,3
0.7,61.1,60,5.71,5.64,3.47,4,6,3
0.7,61.2,57,5.73,5.68,3.49,4,6,3
0.7,61,57,5.73,5.68,3.48,4,6,3
0.7,61.4,57,5.76,5.7,3.52,3,6,3
0.7,59.9,63,5.76,5.7,3.43,5,6,3
0.7,60.5,58,5.77,5.74,3.48,4,6,3
0.98,67.9,60,6.05,5.97,4.08,1,3,3
0.7,63.2,60,5.6,5.51,3.51,5,6,3
0.73,60.8,56,5.82,5.84,3.55,5,3,3
0.7,63.6,57,5.61,5.65,3.58,5,5,3
0.71,62.1,54,5.68,5.72,3.54,3,5,3
0.7,61.4,59,5.64,5.73,3.49,3,4,3
0.77,62.2,56,5.83,5.88,3.64,3,3,3
0.72,60.6,63,5.83,5.76,3.51,5,3,3
0.76,61.3,56,5.9,5.94,3.63,3,4,3
0.7,62.9,60,5.62,5.54,3.51,4,6,3
0.72,60.8,57,5.76,5.75,3.5,3,7,3
0.7,62.8,60,5.68,5.66,3.56,4,7,3
0.75,61.4,59,5.88,5.85,3.6,4,5,3
0.72,63,54,5.69,5.73,3.6,5,5,3
0.72,63.6,58,5.66,5.69,3.61,5,5,3
0.64,61.5,56,5.54,5.55,3.41,3,7,3
0.83,61.1,60,6.07,6.1,3.72,5,2,3
0.71,63.3,56,5.64,5.68,3.58,2,7,3
0.71,62.5,55,5.71,5.65,3.55,3,5,3
1.01,62.7,59,6.31,6.22,3.93,4,3,3
0.76,63.7,54,5.76,5.85,3.7,2,6,3
0.76,61.8,58,5.82,5.86,3.61,4,6,3
0.81,61.6,56,5.97,6.01,3.69,3,4,3
0.55,60.9,57,5.28,5.3,3.22,3,4,3
0.63,62.1,57,5.48,5.41,3.38,4,6,3
0.77,61.3,60,5.9,5.88,3.61,4,3,3
0.64,61.3,56,5.54,5.58,3.41,3,4,3
